"V1","V2"
0.0520868943199051,0.0509193397353195
0.0489736421518528,0.0506795688225525
0.0370244282662404,0.0356369212738057
0.0607533636537153,0.0596608217008081
0.940859631093951,0.912092747695691
0.0434093688883275,0.0460456553675164
0.929537032603663,0.911852739579547
0.0618962283387452,0.0714386842144427
0.0488848962593712,0.04332061287392
0.0553716100885051,0.0487271189511096
0.0577551659813806,0.0569917768215651
0.791587908401063,0.305516465937129
0.0635863124027924,0.0656322678283143
0.0673699097123611,0.0616532580908817
0.0518981208372431,0.0455118037350172
0.047480927010604,0.0442317588268664
0.527997941109719,0.334459666624567
0.034163896977107,0.0353193945626564
0.140638326250284,0.124617795187932
0.0489379686204494,0.0514735812165847
0.0325705509415815,0.0289496163790567
0.0342162510679579,0.027435566320657
0.0414360990272917,0.0384045983874696
0.0579678411447498,0.0640232608534257
0.944139921794258,0.934848596680416
0.0495935076483021,0.0452208960416953
0.50827954699142,0.299320104868232
0.623546983030442,0.436183676073216
0.0664431223003239,0.0628875513647424
0.0451104111825424,0.0479738481416921
0.0857877476748875,0.0847071412858373
0.0230037741482656,0.0181675429692248
0.037545930504709,0.0458446147971245
0.0371252672017012,0.0330962027423554
0.785917747418597,0.564979225647167
0.0514102405219599,0.0420164219354217
0.047567511452551,0.0478419754916845
0.0527618215253897,0.0511875532657903
0.0402316435685968,0.0391794999869463
0.942167542979757,0.887967437503895
0.0438690950616671,0.0408580837486738
0.88695317215922,0.774405724940816
0.272704145250964,0.0374252540813113
0.0911831318625227,0.0867319667925028
0.0862998375856636,0.0860694199005416
0.0313221271740687,0.0249698054196368
0.0396793692627488,0.037112184231662
0.0792994924148407,0.0851921461079588
0.989288346996467,0.973497839153943
