"m1","m2","m3"
0.014691842757875,0.0182492943778288,0.0181606370609555
0.0158681407707146,0.0191078127708736,0.0189393324117553
0.0247224699809198,0.0283339779651081,0.0285904630739103
0.0162453193477487,0.0189465378865277,0.0190070613362087
0.0259590664189981,0.0242261767361861,0.0243438568365834
0.0170868818991894,0.0190767934020073,0.0190378025819664
0.013830415683603,0.0134949120631669,0.0136548250764858
0.0145276867356084,0.0166958780697059,0.0163716399027504
0.0227910944938672,0.0255725639545326,0.0258639679606437
0.0195457009593197,0.0223704097325062,0.0225515748912208
0.0127067378381848,0.0157035341660576,0.0156111314273745
0.0341097947712411,0.0332266120967484,0.0335166479853188
0.0124661547357288,0.0149870503212181,0.0149278044962704
0.0161685499892437,0.0190284464585309,0.0190661832468482
0.0163062247219155,0.0184104974481617,0.0184401180209765
0.0127403945617038,0.0159945478596203,0.0159139158521122
0.0134437643925981,0.0119491957595209,0.011950737621235
0.0146095913156582,0.0164091902342301,0.0163208747346733
0.0133660985227464,0.0144135413435722,0.0143681985612286
0.0187148666897691,0.020932716356449,0.0209424652692877
0.0163824468303114,0.018858576488265,0.0188786454313544
0.0160550126287664,0.0177482909115188,0.0176904697909767
0.0161466689150907,0.0184630172347324,0.0183738409012078
0.0123138647714952,0.0155650486318665,0.0158511949135349
0.0258042753517126,0.0240170199380651,0.02429165546813
0.0202010595174699,0.0229843929179122,0.0230979107029943
0.0131037675106917,0.0121571734402296,0.0121735067367649
0.0207308942867419,0.0199583450055993,0.0198058309992203
0.0174749124553186,0.0195055985066536,0.0194550624791036
0.0149382241574193,0.0171967326032931,0.0171685339760482
0.0178419359634963,0.0170475155439215,0.0171199516034748
0.0239050297533229,0.0273782624569515,0.0276401982532022
0.0115122070590898,0.0140528863346865,0.01406579769406
0.0164222663584469,0.0190285026439747,0.0189836092285101
0.0185162378284071,0.0172040903224868,0.0172356653883787
0.0191258001926,0.021266582297646,0.0213439226036343
0.0124245901241171,0.0145537253302953,0.0145174496468986
0.0186532220901628,0.0206378025976901,0.0205676941428065
0.0167512193495714,0.0201194192998344,0.0202069718668037
0.0199782648436076,0.0186077133528061,0.0186343311737151
0.0199504321360076,0.0231708851578105,0.0233823351138896
0.0239382175969871,0.0223996843437268,0.022596010434372
0.029420622863537,0.0288253547090441,0.0290552862140753
0.014673962315232,0.0162357377811762,0.0161670419002232
0.0188861277507996,0.0210442397021987,0.0210485251201448
0.0214463048346677,0.0236910188353964,0.0238214273306295
0.0156132959780764,0.0183334243272389,0.0183126563797581
0.0128207839273631,0.0155819321391359,0.0152109919543047
0.0195767054984568,0.0180366574042928,0.0179753360617654
